id,category,app,description,auth_method,self_serve_vs_gated,api_surface,existing_mcp_signal,buildability_verdict,main_blocker,evidence_url,confidence,human_review_needed,priority_score,launch_motion
1,CRM and Sales,Salesforce,"Manages customer records, sales activity, and deal workflows.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developer.salesforce.com/docs,Medium,yes,65,Build after OAuth app/scopes are mapped
2,CRM and Sales,HubSpot,"Manages customer records, sales activity, and deal workflows.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developers.hubspot.com/docs/api/overview,High,no,78,Build after OAuth app/scopes are mapped
3,CRM and Sales,Pipedrive,"Manages customer records, sales activity, and deal workflows.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developers.pipedrive.com/docs/api/v1,High,no,78,Build after OAuth app/scopes are mapped
4,CRM and Sales,Attio,"Manages customer records, sales activity, and deal workflows.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://docs.attio.com/rest-api/overview,High,no,78,Build after OAuth app/scopes are mapped
5,CRM and Sales,Twenty,"Manages customer records, sales activity, and deal workflows.",API key / token,Self-serve or trial likely,GraphQL,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://twenty.com/developers,High,no,95,Build now: self-serve API and simple credential path
6,CRM and Sales,Podio,"Manages customer records, sales activity, and deal workflows.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developers.podio.com/,High,no,78,Build after OAuth app/scopes are mapped
7,CRM and Sales,Zoho CRM,"Manages customer records, sales activity, and deal workflows.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://www.zoho.com/crm/developer/docs/api/v8/,High,no,78,Build after OAuth app/scopes are mapped
8,CRM and Sales,Close,"Manages customer records, sales activity, and deal workflows.",API key / token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://developer.close.com/,High,no,95,Build now: self-serve API and simple credential path
9,CRM and Sales,Copper,"Manages customer records, sales activity, and deal workflows.",API key / token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://developer.copper.com/,High,no,95,Build now: self-serve API and simple credential path
10,CRM and Sales,DealCloud,"Manages customer records, sales activity, and deal workflows.",API key / token,Gated / approval needed,REST,Not found in first pass,Gated / needs outreach,Enterprise/customer account likely required for API access.,https://api.docs.dealcloud.com/,Medium,yes,45,"Qualify first: outreach, partner access, or paid account needed"
11,Support and Helpdesk,Zendesk,"Manages customer conversations, tickets, and support operations.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developer.zendesk.com/api-reference/,High,no,78,Build after OAuth app/scopes are mapped
12,Support and Helpdesk,Intercom,"Manages customer conversations, tickets, and support operations.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developers.intercom.com/,High,no,78,Build after OAuth app/scopes are mapped
13,Support and Helpdesk,Freshdesk,"Manages customer conversations, tickets, and support operations.",API key / token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://developers.freshdesk.com/api/,High,no,95,Build now: self-serve API and simple credential path
14,Support and Helpdesk,Front,"Manages customer conversations, tickets, and support operations.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://dev.frontapp.com/,High,no,78,Build after OAuth app/scopes are mapped
15,Support and Helpdesk,Pylon,"Manages customer conversations, tickets, and support operations.",API key / token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://docs.usepylon.com/,High,no,95,Build now: self-serve API and simple credential path
16,Support and Helpdesk,LiveAgent,"Manages customer conversations, tickets, and support operations.",API key / token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://support.liveagent.com/963719-API,Medium,yes,82,Build now: self-serve API and simple credential path
17,Support and Helpdesk,Plain,"Manages customer conversations, tickets, and support operations.",API key / token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://www.plain.com/docs/api-reference/introduction,Medium,yes,82,Build now: self-serve API and simple credential path
18,Support and Helpdesk,Help Scout,"Manages customer conversations, tickets, and support operations.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://developer.helpscout.com/,High,no,78,Build after OAuth app/scopes are mapped
19,Support and Helpdesk,Gorgias,"Manages customer conversations, tickets, and support operations.",API key / token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://developers.gorgias.com/reference/introduction,High,no,95,Build now: self-serve API and simple credential path
20,Support and Helpdesk,Gladly,"Manages customer conversations, tickets, and support operations.",Unclear / account-based,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://developer.gladly.com/,High,no,80,Build now: self-serve API and simple credential path
21,Communications and Messaging,Slack,"Sends, receives, or automates messages across communication channels.",OAuth2,Self-serve or trial likely,REST,"Yes, common MCP/tooling exists",Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://api.slack.com/,High,no,83,Build after OAuth app/scopes are mapped
22,Communications and Messaging,Twilio,"Sends, receives, or automates messages across communication channels.",API key / Basic,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://www.twilio.com/docs/usage/api,High,no,80,Build now: self-serve API and simple credential path
23,Communications and Messaging,Zoho Cliq,"Sends, receives, or automates messages across communication channels.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://www.zoho.com/cliq/help/restapi/v2/,High,no,78,Build after OAuth app/scopes are mapped
24,Communications and Messaging,Lark (Larksuite),"Sends, receives, or automates messages across communication channels.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://open.larksuite.com/document/,High,no,78,Build after OAuth app/scopes are mapped
25,Communications and Messaging,Pumble,"Sends, receives, or automates messages across communication channels.",API key / token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://pumble.com/help/api/,Medium,yes,82,Build now: self-serve API and simple credential path
26,Communications and Messaging,Discord,"Sends, receives, or automates messages across communication channels.",OAuth2,Self-serve or trial likely,REST,Not found in first pass,Buildable with auth setup,"OAuth app setup, scopes, and review need careful handling.",https://discord.com/developers/docs/intro,High,no,78,Build after OAuth app/scopes are mapped
27,Communications and Messaging,Telegram,"Sends, receives, or automates messages across communication channels.",Bot token,Self-serve or trial likely,REST,Not found in first pass,Ready for toolkit,Documented self-serve API appears suitable for an agent-callable toolkit.,https://core.telegram.org/bots/api,High,no,95,Build now: self-serve API and simple credential path
28,Communications and Messaging,WhatsApp Business,"Sends, receives, or automates messages across communication channels.",Unclear / account-based,Gated / approval needed,REST,Not found in first pass,Gated / needs outreach,"Meta business setup, app review, and phone assets are required.",https://developers.facebook.com/docs/whatsapp,Medium,yes,30,"Qualify first: outreach, partner access, or paid account needed"
